,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Somebody That I Used To Know - feat. Kimbra,Making Mirrors,Gotye,2011-01-01,244884,74,0.862,0.542,0.862,0.515,0.000113,0.0987,-6.927,0.0359,129.055,4
1,Call Me Maybe,Call Me Maybe,Carly Rae Jepsen,2012-01-01,193466,13,0.778,0.0126,0.778,0.615,1.44e-06,0.108,-6.529,0.0384,120.045,4
2,We Are Young (feat. Janelle Monáe),We Are Young (feat. Janelle Monáe),fun.,2011-09-20,250626,64,0.378,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,4
3,Whistle,Whistle,Flo Rida,2012-04-24,225000,64,0.754,0.0199,0.754,0.933,0.0,0.297,-5.786,0.0448,103.992,4
4,Wild Ones (feat. Sia),Wild Ones (feat. Sia),Flo Rida,2011-12-19,233688,59,0.624,0.101,0.624,0.889,0.0,0.227,-3.772,0.0504,127.019,4
5,Drive By,Drive By,Train,2012-01-10,196626,60,0.759,0.000983,0.759,0.849,1.51e-05,0.0864,-3.198,0.0317,122.033,4
6,Starships - Edit,Pink Friday ... Roman Reloaded,Nicki Minaj,2012-01-01,210613,21,0.746,0.162,0.746,0.723,0.0,0.254,-2.43,0.0844,125.02,4
7,Payphone,Payphone,Maroon 5,2012-04-17,231466,6,0.738,0.0222,0.738,0.744,0.0,0.331,-4.757,0.042,110.0,4
8,Titanium - feat. Sia,Nothing But The Beat,David Guetta,2011,245040,9,0.599,0.069,0.599,0.803,0.137,0.129,-3.641,0.0986,126.057,4
9,Euphoria - Single Version,Euphoria,Loreen,2012-02-26,181786,60,0.562,0.135,0.562,0.783,1.44e-05,0.282,-4.727,0.0428,132.06,4
10,We Found Love,We Found Love,Rihanna,2011-09-22,215760,20,0.755,0.0225,0.755,0.74,0.00139,0.124,-4.951,0.0407,127.98,4
11,Levels - Radio Edit,Levels,Avicii,2011-01-01,199903,42,0.62,0.0585,0.62,0.881,0.714,0.311,-5.851,0.0372,126.035,4
12,Bangarang (feat. Sirah),Bangarang EP,Skrillex,2011-12-27,215253,73,0.716,0.0145,0.716,0.972,3.22e-05,0.317,-2.302,0.196,110.026,4
13,Ai Se Eu Te Pego - Live,Ai Se Eu Te Pego,Michel Teló,2011-11-30,165853,9,0.674,0.347,0.674,0.937,0.0,0.702,-4.454,0.0699,96.051,4
14,"Young, Wild & Free (feat. Bruno Mars)",Mac and Devin Go To High School (Music From and Inspired By The Movie),Various Artists,2011-12-09,207333,68,0.715,0.0525,0.715,0.655,0.0,0.115,-6.425,0.137,95.078,4
15,Sexy And I Know It,Sorry For Party Rocking,LMFAO,2011-01-01,199480,65,0.707,0.1,0.707,0.861,0.0,0.191,-4.225,0.316,130.021,4
16,What Makes You Beautiful,Up All Night,One Direction,2012-05-25,198053,68,0.729,0.00761,0.729,0.771,0.0,0.087,-2.451,0.0725,125.011,4
17,Some Nights,Some Nights (Spotify Exclusive),fun.,2012-02-21,277040,71,0.672,0.0178,0.672,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,4
18,Good Feeling,Good Feeling,Flo Rida,2011-08-29,248133,61,0.706,0.0588,0.706,0.89,0.00286,0.306,-4.444,0.0688,128.011,4
19,Ni**as In Paris,Watch The Throne (Deluxe),JAY Z,2011-01-01,219333,16,0.788,0.127,0.788,0.859,0.0,0.348,-5.542,0.315,140.027,4
20,Where Have You Been,Talk That Talk (Deluxe),Rihanna,2012-07-18,242680,27,0.719,0.00201,0.719,0.847,0.0204,0.223,-6.34,0.0916,127.963,4
21,Turn Me On - feat. Nicki Minaj,Nothing But The Beat,David Guetta,2011,199689,3,0.703,0.0666,0.703,0.786,0.0,0.553,-2.243,0.0561,127.954,4
22,Paradise,Mylo Xyloto,Coldplay,2011-10-24,278719,78,0.449,0.0522,0.449,0.585,8.49e-05,0.0833,-6.762,0.0268,139.627,4
23,Gangnam Style (강남스타일),Gangnam Style (강남스타일),PSY,2012-01-01,219493,28,0.727,0.00432,0.727,0.938,0.0,0.0911,-2.872,0.288,132.077,4
24,Rolling In The Deep,Rolling In The Deep,Adele,2011-01-16,228293,61,0.729,0.13,0.729,0.777,0.0,0.0541,-5.112,0.0293,104.946,4
25,International Love,Planet Pit (Deluxe Version),Pitbull,2011-06-17,227280,68,0.669,0.0124,0.669,0.855,0.0,0.335,-3.035,0.0499,120.045,4
26,Take Care,Take Care (Deluxe),Drake,2011,277386,72,0.629,0.0267,0.629,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,4
27,Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,2011-10-24,221946,71,0.562,0.046,0.562,0.939,0.0,0.112,-4.282,0.0475,116.044,4
28,She Doesn't Mind,She Doesn't Mind,Sean Paul,2011-10-31,227786,39,0.718,0.000624,0.718,0.776,5.3e-06,0.207,-5.208,0.0693,120.015,4
29,Boyfriend,Believe (Deluxe Edition),Justin Bieber,2012-01-01,171333,27,0.719,0.0314,0.719,0.535,0.0017,0.141,-6.069,0.0641,96.982,4
30,Mirror,Tha Carter IV (Deluxe),Lil Wayne,2011-01-01,228093,71,0.331,0.858,0.331,0.622,0.0,0.104,-7.291,0.092,64.468,3
31,One More Night,Overexposed,Maroon 5,2012-01-01,219466,47,0.718,0.0444,0.718,0.82,0.0,0.0846,-3.453,0.0323,92.998,4
32,Don't Wake Me Up,Fortune (Deluxe Version),Chris Brown,2012-06-29,222306,64,0.602,0.0548,0.602,0.691,0.0,0.144,-5.197,0.051,127.967,4
33,Moves Like Jagger - Studio Recording From The Voice Performance,Moves Like Jagger,Maroon 5,2011-06-22,201240,9,0.723,0.0175,0.723,0.758,0.0,0.307,-4.418,0.0506,128.033,4
34,Without You - feat. Usher,Nothing But The Beat,David Guetta,2011,208134,8,0.606,0.211,0.606,0.612,3.7e-06,0.128,-3.676,0.028,127.882,4
35,Flytta på dej,Flytta på dej (Du måste flytta på dig),Alina Devecerski,2012-04-20,205880,48,0.744,0.0455,0.744,0.861,0.0,0.321,-3.51,0.0936,129.88,4
36,Midnight City,Hurry Up We're Dreaming,M83,2011-10-18,243960,7,0.521,0.0191,0.521,0.752,0.0,0.0682,-5.374,0.0369,105.051,4
37,Some Die Young,Sjung,Laleh,2012-01-10,228066,57,0.631,0.122,0.631,0.678,7.06e-05,0.204,-7.18,0.0273,98.477,4
38,Dansa Pausa,Dansa Pausa,Panetoz,2012-04-10,179000,49,0.811,0.0503,0.811,0.863,0.0,0.309,-4.64,0.103,121.971,4
39,Sail,Megalithic Symphony,AWOLNATION,2011,259102,0,0.825,0.452,0.825,0.435,0.609,0.0953,-9.582,0.0568,119.038,4
40,This Is Love,This Is Love,will.i.am,2012-01-01,280946,11,0.523,0.00421,0.523,0.804,0.0,0.242,-3.609,0.0471,129.035,4
41,The A Team,The A Team,Ed Sheeran,2011-05-01,258588,26,0.626,0.678,0.626,0.286,0.0,0.134,-9.933,0.0374,84.954,4
42,Summer Paradise - feat. Sean Paul,Get Your Heart On!,Simple Plan,2011-06-20,234786,63,0.421,0.0132,0.421,0.822,0.0,0.092,-4.415,0.0542,171.935,4
43,Party Rock Anthem,Party Rock Anthem,LMFAO,2011,263360,11,0.752,0.0246,0.752,0.727,0.0,0.272,-4.161,0.16,130.015,4
44,Hangover,Hangover,Taio Cruz,2011-01-01,244506,13,0.604,0.00868,0.604,0.888,0.0,0.117,-3.282,0.0454,128.032,4
45,First Of The Year (Equinox),More Monsters and Sprites EP,Skrillex,2011-06-07,261517,69,0.429,0.00711,0.429,0.948,0.0148,0.0812,-3.657,0.227,115.785,3
46,Too Close,The Lateness Of The Hour,Alex Clare,2011,256560,60,0.579,0.0137,0.579,0.731,0.0,0.113,-4.16,0.0452,126.07,4
