name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,class
One Dance,Views,Drake,6/5/16,173986,43,0.791,0.00784,0.619,0.00423,0.351,-5.886,0.0532,103.989,4,0
I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,6/5/16,197933,38,0.663,0.0353,0.713,7.68E-06,0.0843,-6.647,0.112,101.965,4,1
Don't Let Me Down,Don't Let Me Down,The Chainsmokers,5/2/16,208373,83,0.532,0.157,0.869,0.00508,0.136,-5.094,0.172,159.803,4,0
Work,ANTI (Deluxe),Rihanna,28-01-2016,219320,36,0.725,0.0752,0.534,0,0.0919,-6.238,0.0946,91.974,4,0
Cheap Thrills,This Is Acting,Sia,29-01-2016,211666,79,0.628,0.0472,0.698,0.00143,0.0907,-5.608,0.105,89.976,4,0
Love Yourself,Purpose (Deluxe),Justin Bieber,13-11-2015,233720,58,0.609,0.835,0.378,0,0.28,-9.828,0.438,100.418,4,0
Work from Home,7/27 (Deluxe),Fifth Harmony,27-05-2016,214480,81,0.803,0.103,0.585,3.94E-06,0.0644,-5.861,0.0432,105.017,4,0
This Is What You Came For,This Is What You Came For,Calvin Harris,29-04-2016,222160,81,0.63,0.199,0.928,0.124,0.148,-2.787,0.0331,123.963,4,1
7 Years,Lukas Graham,Lukas Graham,1/4/16,237300,81,0.765,0.287,0.473,0,0.391,-5.829,0.0514,119.992,4,0
Faded,Faded,Alan Walker,4/12/15,212626,26,0.589,0.0291,0.651,3.20E-06,0.111,-5.097,0.0306,90.011,4,0
Stressed Out,Blurryface,Twenty One Pilots,15-05-2015,202333,84,0.734,0.0462,0.637,2.29E-05,0.0602,-5.677,0.141,169.977,4,0
Sorry,Purpose (Deluxe),Justin Bieber,13-11-2015,200786,56,0.654,0.0797,0.76,0,0.299,-3.669,0.045,99.945,4,0
Light It Up (feat. Nyla & Fuse ODG) - Remix,Peace Is The Mission: Extended,Major Lazer,27-11-2015,166138,59,0.736,0.0369,0.879,0.000736,0.233,-3.782,0.0696,107.976,4,1
Closer,Closer,The Chainsmokers,29-07-2016,244960,87,0.748,0.414,0.524,0,0.111,-5.599,0.0338,95.01,4,0
"Me, Myself & I",When It's Dark Out,G-Eazy,4/12/15,251466,79,0.757,0.0186,0.672,0,0.158,-6.524,0.0955,111.996,4,0
Panda,New English,Desiigner,26-06-2016,246761,31,0.576,0.028,0.766,1.68E-06,0.366,-4.943,0.449,144.833,4,0
Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),Major Lazer,22-07-2016,185351,57,0.608,0.0736,0.798,0,0.156,-5.092,0.0432,92.943,4,0
Fast Car,Fast Car,Jonas Blue,4/12/15,212424,38,0.459,0.453,0.587,0,0.307,-6.983,0.0785,113.901,4,0
PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,25-03-2016,202746,77,0.584,0.117,0.7,0,0.0939,-4.275,0.0456,124.944,4,0
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6/5/16,236001,79,0.667,0.0123,0.83,0,0.191,-5.715,0.0749,113.03,4,0
Cake By The Ocean,Cake By The Ocean,DNCE,18-09-2015,218440,23,0.774,0.163,0.748,0,0.0516,-5.478,0.0509,119.009,4,0
Too Good,Views,Drake,6/5/16,263373,34,0.804,0.0573,0.648,3.49E-05,0.102,-7.805,0.117,117.983,4,1
Roses,Roses,The Chainsmokers,16-06-2015,226738,76,0.713,0.0435,0.802,0.00377,0.309,-7.055,0.0561,100.001,4,0
Lush Life,Lush Life,Zara Larsson,9/6/15,201122,27,0.694,0.133,0.712,0,0.211,-3.923,0.046,98.022,4,0
Middle,Encore,DJ Snake,5/8/16,220573,34,0.611,0.0199,0.7,0,0.0549,-5.331,0.0436,104.981,4,0
"i hate u, i love u (feat. olivia o'brien)",us,gnash,25-03-2016,251033,83,0.492,0.687,0.275,0,0.101,-13.4,0.3,92.6,4,0
Needed Me,ANTI,Rihanna,28-01-2016,191600,73,0.671,0.11,0.314,0,0.0825,-8.091,0.244,110.898,4,0
Treat You Better,Illuminate (Deluxe),Shawn Mendes,23-09-2016,187973,18,0.683,0.107,0.797,0,0.114,-4.085,0.246,82.916,4,0
Heathens,Heathens,Twenty One Pilots,16-06-2016,195920,82,0.732,0.0841,0.396,3.58E-05,0.105,-9.348,0.0286,90.024,4,0
Ride,Blurryface,Twenty One Pilots,15-05-2015,214506,83,0.645,0.00835,0.713,0,0.113,-5.355,0.0393,74.989,4,0
Let Me Love You,Encore,DJ Snake,5/8/16,205946,41,0.476,0.0784,0.718,1.02E-05,0.122,-5.309,0.0576,199.864,4,0
Stitches,Handwritten (Deluxe),Shawn Mendes,13-04-2015,206880,38,0.746,0.0152,0.754,0,0.0486,-6.681,0.067,149.882,4,0
No Money,No Money,Galantis,1/4/16,189126,75,0.671,0.0282,0.916,0.00762,0.24,-4.014,0.0397,126.01,4,1
Sex,Sex,Cheat Codes,7/3/16,228361,59,0.51,0.00451,0.692,0,0.138,-5.825,0.171,102.42,4,0
What Do You Mean?,Purpose (Deluxe),Justin Bieber,13-11-2015,205680,54,0.845,0.59,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4,1
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,29-01-2016,217706,79,0.728,0.621,0.563,0,0.179,-8.053,0.134,100.017,4,0
My House,MY HOUSE,Flo Rida,7/4/15,192190,77,0.688,0.0215,0.702,0,0.128,-4.792,0.0499,94.006,4,0
Stay (feat. Maty Noyes),Cloud Nine,Kygo,13-05-2016,239465,65,0.648,0.0444,0.736,0.000137,0.171,-7.948,0.0385,103.027,4,0
Hello,25,Adele,24-06-2016,295493,73,0.481,0.336,0.451,0,0.0872,-6.095,0.0347,157.966,4,0
Never Forget You,Never Forget You,Zara Larsson,10/9/15,213427,22,0.583,0.00312,0.732,9.86E-06,0.269,-5.728,0.0457,145.992,4,0
Into You,Dangerous Woman,Ariana Grande,20-05-2016,244453,37,0.636,0.0161,0.727,1.12E-06,0.151,-5.852,0.106,107.988,4,0
Gold,low kii savage,Kiiara,22-03-2016,225882,74,0.6,0.615,0.412,0.0025,0.134,-9.343,0.344,113.049,5,0
This Girl - Kungs Vs. Cookin' On 3 Burners,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,19-02-2016,195561,24,0.79,0.0807,0.705,4.81E-05,0.251,-4.684,0.0383,121.969,4,0
The Ocean (feat. Shy Martin),The Ocean (feat. Shy Martin),Mike Perry,15-04-2016,183414,76,0.632,0.0225,0.575,1.81E-06,0.104,-6.478,0.029,90.037,4,0
Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,29-05-2015,176561,19,0.723,0.00346,0.809,0.00123,0.565,-3.081,0.0625,98.007,4,0
Hotline Bling,Views,Drake,6/5/16,267066,35,0.903,0.00347,0.62,0.000119,0.0504,-8.094,0.0587,134.96,4,1
Sugar (feat. Francesco Yates),SUGAR,Robin Schulz,25-09-2015,219043,77,0.636,0.0185,0.815,0,0.163,-5.098,0.0581,123.063,4,1
Hymn For The Weekend,A Head Full Of Dreams,Coldplay,4/12/15,258826,79,0.49,0.255,0.743,7.21E-06,0.3,-5.155,0.0409,89.974,4,0
Hands To Myself,Revival (Deluxe),Selena Gomez,9/10/15,200680,70,0.811,0.0147,0.499,2.44E-06,0.342,-7.161,0.118,111.016,4,0
Bang My Head (feat. Sia & Fetty Wap),Listen Again,David Guetta,27-11-2015,193333,67,0.599,0.0525,0.869,0.00719,0.103,-3.697,0.0789,108.061,4,0
Never Be Like You,Skin,Flume,27-05-2016,233337,65,0.494,0.436,0.559,0,0.164,-5.445,0.0565,119.247,4,0
Adventure Of A Lifetime,A Head Full Of Dreams,Coldplay,4/12/15,263786,77,0.638,0.00205,0.924,0.000173,0.149,-3.887,0.0359,111.995,4,0
Controlla,Views,Drake,13-05-2016,245226,70,0.747,0.0962,0.477,0,0.114,-11.062,0.276,93.44,4,0
Perfect Strangers,Perfect Strangers,Jonas Blue,3/6/16,196613,34,0.742,0.372,0.819,0,0.277,-5.307,0.0487,117.986,4,0
Dangerous Woman,Dangerous Woman,Ariana Grande,20-05-2016,235946,34,0.677,0.0612,0.604,0,0.353,-5.32,0.0385,134.052,3,0
This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,This One's For You (feat. Zara Larsson) [Official Song UEFA EURO 2016],David Guetta,13-05-2016,207272,70,0.367,0.0022,0.915,5.81E-05,0.0905,-3.456,0.0488,110.169,4,0
Send My Love (To Your New Lover),25,Adele,24-06-2016,223080,74,0.69,0.0415,0.524,3.16E-06,0.17,-8.39,0.103,164.023,4,0
Can't Feel My Face,Beauty Behind The Madness,The Weeknd,28-08-2015,213520,40,0.702,0.124,0.77,0,0.103,-5.416,0.0482,107.951,4,0
Capsize,Capsize,FRENSHIP,15-04-2016,237760,18,0.681,0.042,0.708,0.14,0.682,-6.019,0.0304,92.993,4,0
DUELE EL CORAZON,DUELE EL CORAZON,Enrique Iglesias,18-04-2016,200813,74,0.724,0.0786,0.904,0,0.226,-3.354,0.0966,90.999,4,0
Don't Mind,Don't Mind,Kent Jones,25-04-2016,198236,69,0.464,0.0235,0.771,0,0.063,-4.503,0.336,158.777,4,0
In the Name of Love,In the Name of Love,Martin Garrix,29-07-2016,195706,82,0.501,0.109,0.519,0,0.454,-5.88,0.0409,133.99,4,0
Jumpman,What A Time To Be Alive,Drake,20-09-2015,205879,78,0.852,0.0563,0.553,0,0.332,-7.286,0.187,142.072,4,0
Hymn For The Weekend - Seeb Remix,Hymn For The Weekend (Seeb Remix),Coldplay,25-03-2016,212647,78,0.565,0.00868,0.849,4.68E-06,0.12,-3.516,0.0517,102.034,4,0
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,24-06-2016,243490,80,0.502,0.255,0.786,0,0.65,-4.378,0.317,169.021,4,0
Final Song,Final Song,MØ,13-05-2016,235826,73,0.695,0.014,0.672,8.44E-05,0.0756,-6.109,0.0345,104.988,4,0
Photograph,x (Deluxe Edition),Ed Sheeran,21-06-2014,258986,85,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,0
Please Don't Go,Please Don't Go,Joel Adams,6/11/15,210580,77,0.513,0.0118,0.768,1.94E-05,0.294,-4.868,0.0587,84.264,4,0
Close,Last Year Was Complicated,Nick Jonas,10/6/16,234213,62,0.653,0.253,0.623,0,0.144,-5.273,0.082,123.999,4,0
Once In a While,Once In a While,Timeflies,18-03-2016,215160,67,0.786,0.00758,0.687,0,0.619,-5.914,0.141,105.021,4,0
One Call Away,Nine Track Mind,Charlie Puth,29-01-2016,194453,70,0.667,0.403,0.613,0,0.115,-5.353,0.0344,91.024,4,0
YOUTH,Blue Neighbourhood (Deluxe),Troye Sivan,4/12/15,185194,68,0.628,0.0625,0.737,0,0.0777,-4.437,0.041,91.507,4,0
Kill Em With Kindness,Revival (Deluxe),Selena Gomez,9/10/15,217906,71,0.757,0.00795,0.884,5.87E-05,0.0973,-5.488,0.0404,120.012,4,0
The Hills,Beauty Behind The Madness,The Weeknd,28-08-2015,242253,38,0.356,0.0861,0.567,0,0.137,-7.011,0.0798,135.553,5,0
All My Friends (feat. Tinashe & Chance the Rapper),All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,21-10-2015,229746,74,0.689,0.119,0.521,8.41E-05,0.108,-5.845,0.132,95.055,4,0
Wild Things,Know-It-All (Deluxe),Alessia Cara,13-11-2015,188493,66,0.741,0.02,0.626,0,0.0828,-4.826,0.0886,108.029,4,0
How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,17-07-2015,212640,77,0.738,0.0389,0.868,0.00171,0.388,-4.373,0.0731,122.003,4,1
Hide Away,"Sit Still, Look Pretty",Daya,7/10/16,192376,64,0.885,0.225,0.801,1.65E-06,0.0733,-4.716,0.0882,95.011,4,0
NO,Thank You (Deluxe),Meghan Trainor,13-05-2016,213506,33,0.471,0.0125,0.802,1.45E-06,0.702,-3.599,0.27,88.615,4,0
Low Life,EVOL,Future,13-04-2016,313546,78,0.722,0.337,0.331,0.283,0.146,-7.789,0.0725,143.974,4,0
Side To Side,Dangerous Woman,Ariana Grande,20-05-2016,226160,40,0.648,0.0408,0.738,0,0.292,-5.883,0.247,159.145,4,0
Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,24-02-2015,250285,77,0.432,0.041,0.781,4.21E-06,0.0789,-4.038,0.0567,139.432,4,0
Thinking Out Loud,x (Deluxe Edition),Ed Sheeran,21-06-2014,281560,85,0.781,0.474,0.445,0,0.184,-6.061,0.0295,78.998,4,0
Starving,HAIZ,Hailee Steinfeld,15-07-2016,181880,16,0.695,0.379,0.615,0,0.104,-4.194,0.104,99.817,4,0
I Know What You Did Last Summer,Handwritten (Revisited),Shawn Mendes,20-11-2015,223826,32,0.657,0.123,0.769,0,0.245,-4.591,0.115,113.966,4,0
Don't,T R A P S O U L,Bryson Tiller,2/10/15,198293,79,0.765,0.222,0.356,0,0.0963,-5.556,0.196,97.001,4,0
Broccoli (feat. Lil Yachty),Big Baby DRAM,DRAM,21-10-2016,225205,73,0.886,0.236,0.525,0,0.057,-7.39,0.131,145.99,4,0
Let Me Hold You (Turn Me On),Let Me Hold You (Turn Me On),Cheat Codes,1/7/16,163841,56,0.68,0.101,0.774,0,0.113,-3.136,0.0697,102.949,4,0
When We Were Young,25,Adele,24-06-2016,290906,73,0.381,0.348,0.594,0,0.0925,-5.97,0.0486,143.86,4,0
Pop Style,Views,Drake,13-05-2016,212946,55,0.721,0.173,0.461,3.31E-06,0.105,-9.979,0.107,133.072,4,1
Starboy,Starboy,The Weeknd,22-09-2016,230466,20,0.68,0.159,0.594,2.35E-06,0.134,-7.021,0.28,186.04,4,0
