,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
0,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,92,0.757,0.541,0.501,0,0.0718,-5.593,0.0466,89.931,0
1,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,86,0.896,0.103,0.671,0,0.552,-6.977,0.289,112.502,1
2,Without Me,Without Me,Halsey,94,0.752,0.297,0.488,9.11E-06,0.0936,-7.05,0.0705,136.041,0
3,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,96,0.511,0.349,0.566,0,0.34,-7.23,0.2,83.903,0
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,100,0.841,0.153,0.798,3.33E-06,0.0618,-4.206,0.229,95.948,0
5,Happier,Happier,Marshmello,99,0.687,0.191,0.792,0,0.167,-2.749,0.0452,100.015,0
6,Moonlight,?,XXXTENTACION,95,0.921,0.556,0.537,0.00404,0.102,-5.723,0.0804,128.009,0
7,Nonstop,Scorpion,Drake,93,0.912,0.0164,0.412,0.013,0.104,-8.074,0.124,154.983,1
8,Shallow,A Star Is Born Soundtrack,Lady Gaga,91,0.572,0.371,0.385,0,0.231,-6.362,0.0308,95.799,0
9,when the party's over,when the party's over,Billie Eilish,89,0.498,0.979,0.104,7.86E-05,0.0895,-14.08,0.0621,124.001,0
10,FEFE (feat. Nicki Minaj & Murda Beatz),FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,94,0.931,0.088,0.387,0,0.136,-9.127,0.412,125.978,0
11,Better Now,beerbongs & bentleys,Post Malone,95,0.68,0.354,0.563,0,0.136,-5.843,0.0454,145.028,1
12,"Never Recover (Lil Baby & Gunna, Drake)",Drip Harder,Lil Baby,90,0.757,0.0716,0.69,0,0.192,-5.327,0.282,132.064,1
13,I Love It (& Lil Pump),I Love It,Kanye West,98,0.901,0.0114,0.522,0,0.259,-8.304,0.33,104.053,0
14,In My Feelings,Scorpion,Drake,97,0.835,0.0589,0.626,6.00E-05,0.396,-5.833,0.125,91.03,1
15,Mo Bamba,MUDBOY,Sheck Wes,91,0.729,0.194,0.625,0.00986,0.248,-5.266,0.0315,146.034,0
16,SICKO MODE,ASTROWORLD,Travis Scott,97,0.834,0.00513,0.73,0,0.124,-3.714,0.222,155.008,1
17,ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),Kodak Black,95,0.826,0.071,0.615,0,0.0965,-7.979,0.219,98.056,1
18,MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,97,0.818,0.0143,0.54,0.000512,0.099,-6.35,0.0544,97.064,1
19,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,84,0.694,0.0302,0.724,2.02E-06,0.126,-5.45,0.0424,104.943,1
20,Better,Suncity,Khalid,62,0.551,0.0803,0.563,0.234,0.106,-10.271,0.0865,97.846,0
21,SAD!,?,XXXTENTACION,95,0.74,0.258,0.613,0.00372,0.123,-4.88,0.145,75.023,0
22,Fine China,Future & Juice WRLD Present... WRLD ON DRUGS,Future,85,0.656,0.0484,0.542,0,0.126,-7.358,0.323,166.111,0
23,Money,Money,Cardi B,80,0.95,0.00534,0.59,0,0.11,-6.508,0.29,130.003,0
24,Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,91,0.8,0.00381,0.578,0,0.359,-5.144,0.0485,143.01,1
25,Falling Down,Falling Down,Lil Peep,96,0.669,0.0175,0.574,0.00294,0.146,-6.442,0.0286,120.013,0
26,Taste (feat. Offset),Taste (feat. Offset),Tyga,94,0.884,0.0236,0.559,0,0.101,-7.442,0.12,97.994,0
27,Noticed,Northsbest,Lil Mosey,80,0.702,0.456,0.571,0,0.116,-7.54,0.0536,80.012,0
28,Yes Indeed,Harder Than Ever,Lil Baby,90,0.964,0.035,0.346,0,0.108,-9.309,0.53,119.958,1
