name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
0 To 100 / The Catch Up,0 To 100 / The Catch Up,Drake,45,0.559,0.737,0.716,0,0.252,-3.964,0.39,176.618,1
I Do It,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,24,0.587,0.186,0.708,0,0.193,-4.492,0.19,145.103,1
Back To Back,Back To Back,Drake,41,0.893,0.00854,0.48,0,0.116,-3.728,0.356,86.976,1
Right Here,Believe,Justin Bieber,41,0.639,0.0233,0.57,0,0.329,-4.966,0.042,92.073,1
Believe Me,Believe Me,Lil Wayne,30,0.842,0.281,0.482,0,0.111,-8.846,0.181,92.023,1
Fall For Your Type,Best Night Of My Life,Jamie Foxx,53,0.593,0.394,0.393,3.24E-06,0.11,-11.736,0.0827,136.866,1
Charged Up,Charged Up,Drake,19,0.457,0.91,0.694,0,0.121,-7.018,0.608,177.777,1
In the Morning,Cole World: The Sideline Story,J. Cole,62,0.44,0.764,0.671,0,0.212,-10.598,0.477,83.078,1
Blessings,Dark Sky Paradise (Deluxe),Big Sean,36,0.775,0.332,0.621,0,0.122,-7.634,0.295,118.843,1
DnF,DnF,Preme,43,0.721,0.0958,0.607,0,0.29,-7.078,0.277,76.987,1
Back On Road,Everybody Looking,Gucci Mane,57,0.833,0.329,0.673,0,0.136,-6.981,0.315,148.019,1
Drama (feat. Drake),Exis,Roy Woods,71,0.709,0.157,0.362,0,0.109,-9.814,0.055,122.043,1
Fake Love,Fake Love,Drake,4,0.923,0.161,0.535,0,0.103,-7.353,0.301,133.942,1
For Free,For Free,DJ Khaled,39,0.916,0.0173,0.571,1.11E-06,0.153,-8.241,0.2,103.521,1
Diced Pineapples,"God Forgives, I Don't (Deluxe Edition)",Rick Ross,33,0.511,0.352,0.734,0,0.196,-6.025,0.239,110.771,1
Poetic Justice,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,0,0.777,0.184,0.55,0,0.241,-10.092,0.403,135.96,1
Grindin',Grindin',Lil Wayne,14,0.797,0.0118,0.521,0,0.564,-8.21,0.204,103.985,1
Yes Indeed,Harder Than Ever,Lil Baby,89,0.964,0.035,0.346,0,0.108,-9.309,0.53,119.958,1
Headlines,Headlines,Drake,22,0.65,0.357,0.583,0.000316,0.0909,-7.39,0.0948,152.087,1
Right Above It,I Am Not A Human Being,Lil Wayne,52,0.376,0.0435,0.841,0,0.578,-4.348,0.356,76.052,1
I'm Single,I Am Not A Human Being,Lil Wayne,30,0.567,0.044,0.381,0,0.107,-5.238,0.507,85.537,1
Gonorrhea,I Am Not A Human Being,Lil Wayne,24,0.715,0.0311,0.745,0,0.0823,-5.71,0.25,148.042,1
With You,I Am Not A Human Being (Explicit Version),Lil Wayne,0,0.391,0.762,0.467,0,0.242,-7.451,0.0622,150.783,1
I'm On One,I'm On One,DJ Khaled,18,0.492,0.0548,0.817,0,0.17,-3.416,0.304,150.186,1
I'm Upset,I'm Upset,Drake,77,0.899,0.263,0.592,0,0.0831,-7.901,0.333,149.953,1
