popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class,new_class,name
86,0.8959999999999999,0.10300000000000001,0.6709999999999999,0.0,0.552,-6.977,0.289,112.50200000000001,1,1,Drip Too Hard (Lil Baby & Gunna)
94,0.752,0.297,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,0,1,Without Me
100,0.841,0.153,0.7979999999999999,3.33e-06,0.0618,-4.206,0.22899999999999998,95.948,0,1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
99,0.687,0.191,0.792,0.0,0.16699999999999998,-2.7489999999999997,0.0452,100.015,0,1,Happier
95,0.9209999999999999,0.556,0.537,0.00404,0.102,-5.723,0.0804,128.009,0,1,Moonlight
93,0.912,0.0164,0.41200000000000003,0.013000000000000001,0.10400000000000001,-8.074,0.124,154.983,1,1,Nonstop
94,0.9309999999999999,0.08800000000000001,0.387,0.0,0.136,-9.127,0.41200000000000003,125.978,0,1,FEFE (feat. Nicki Minaj & Murda Beatz)
95,0.68,0.354,0.563,0.0,0.136,-5.843,0.0454,145.028,1,1,Better Now
90,0.757,0.0716,0.69,0.0,0.192,-5.327000000000001,0.282,132.064,1,1,"Never Recover (Lil Baby & Gunna, Drake)"
98,0.9009999999999999,0.0114,0.522,0.0,0.259,-8.304,0.33,104.053,0,1,I Love It (& Lil Pump)
97,0.835,0.0589,0.626,5.9999999999999995e-05,0.396,-5.832999999999999,0.125,91.03,1,1,In My Feelings
97,0.8340000000000001,0.00513,0.73,0.0,0.124,-3.714,0.222,155.00799999999998,1,1,SICKO MODE
95,0.826,0.071,0.615,0.0,0.0965,-7.979,0.21899999999999997,98.056,1,1,ZEZE (feat. Travis Scott & Offset)
97,0.818,0.0143,0.54,0.000512,0.099,-6.35,0.0544,97.064,1,1,MIA (feat. Drake)
84,0.6940000000000001,0.0302,0.7240000000000001,2.02e-06,0.126,-5.45,0.0424,104.943,1,1,Arms Around You (feat. Maluma & Swae Lee)
