,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,One,x (Deluxe Edition),Ed Sheeran,2014-06-21,252760,70,0.464,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,4
1,I'm A Mess,x (Deluxe Edition),Ed Sheeran,2014-06-21,244573,73,0.697,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,4
2,Sing,x (Deluxe Edition),Ed Sheeran,2014-06-21,235382,74,0.818,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,4
3,Don't,x (Deluxe Edition),Ed Sheeran,2014-06-21,219840,77,0.806,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,4
4,Nina,x (Deluxe Edition),Ed Sheeran,2014-06-21,225533,64,0.791,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,4
5,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,86,0.614,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4
6,Bloodstream,x (Deluxe Edition),Ed Sheeran,2014-06-21,300253,73,0.66,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,4
7,Tenerife Sea,x (Deluxe Edition),Ed Sheeran,2014-06-21,241346,76,0.53,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,4
8,Runaway,x (Deluxe Edition),Ed Sheeran,2014-06-21,205133,65,0.767,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,4
9,The Man,x (Deluxe Edition),Ed Sheeran,2014-06-21,250426,62,0.759,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,4
10,Thinking Out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,86,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
11,Afire Love,x (Deluxe Edition),Ed Sheeran,2014-06-21,314280,67,0.552,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,4
12,Take It Back,x (Deluxe Edition),Ed Sheeran,2014-06-21,208400,68,0.754,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,4
13,Shirtsleeves,x (Deluxe Edition),Ed Sheeran,2014-06-21,190226,62,0.752,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,4
14,Even My Dad Does Sometimes,x (Deluxe Edition),Ed Sheeran,2014-06-21,228533,63,0.58,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,3
15,I See Fire,x (Deluxe Edition),Ed Sheeran,2014-06-21,299146,29,0.641,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,4
16,Let It Out,Loose Change,Ed Sheeran,2011-12-09,231546,51,0.731,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,4
17,Homeless,Loose Change,Ed Sheeran,2011-12-09,210746,50,0.754,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,4
18,Little Bird,Loose Change,Ed Sheeran,2011-12-09,226066,51,0.826,0.569,0.826,0.485,0.0,0.107,-7.424,0.0354,104.011,4
19,Sofa,Loose Change,Ed Sheeran,2011-12-09,199133,50,0.646,0.14,0.646,0.65,9.65e-06,0.0999,-6.491,0.0278,100.05,4
20,One Night,Loose Change,Ed Sheeran,2011-12-09,206440,51,0.781,0.379,0.781,0.836,0.0,0.289,-5.496,0.0658,94.989,4
21,Firefly,Loose Change,Ed Sheeran,2011-12-09,254999,53,0.602,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,4
22,The A Team,+,Ed Sheeran,2011-09-09,258373,73,0.642,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,4
23,Drunk,+,Ed Sheeran,2011-09-09,200093,71,0.733,0.419,0.733,0.652,2.37e-06,0.521,-9.101,0.0696,99.998,4
24,U.N.I.,+,Ed Sheeran,2011-09-09,228600,62,0.422,0.323,0.422,0.405,0.0,0.15,-11.126,0.101,74.13,4
25,Grade 8,+,Ed Sheeran,2011-09-09,179880,59,0.74,0.0446,0.74,0.807,4.02e-05,0.0538,-9.976,0.0363,101.042,4
26,Wake Me Up,+,Ed Sheeran,2011-09-09,229613,64,0.616,0.902,0.616,0.209,0.0,0.139,-13.43,0.406,86.891,1
27,Small Bump,+,Ed Sheeran,2011-09-09,259413,71,0.81,0.689,0.81,0.436,0.000151,0.11,-12.683,0.0717,119.973,4
28,This,+,Ed Sheeran,2011-09-09,195840,62,0.588,0.95,0.588,0.0929,0.00539,0.128,-14.301,0.0443,152.139,4
29,The City,+,Ed Sheeran,2011-09-09,234333,57,0.74,0.0415,0.74,0.505,6.82e-05,0.0707,-10.338,0.0674,97.994,4
30,Lego House,+,Ed Sheeran,2011-09-09,185093,75,0.592,0.562,0.592,0.637,0.0,0.13,-8.48,0.0992,159.701,4
31,"You Need Me, I Don't Need You",+,Ed Sheeran,2011-09-09,220413,70,0.749,0.162,0.749,0.837,0.0,0.525,-8.837,0.0512,103.483,4
32,Kiss Me,+,Ed Sheeran,2011-09-09,280853,77,0.589,0.64,0.589,0.227,0.00469,0.0248,-16.67,0.0498,74.993,4
33,Give Me Love,+,Ed Sheeran,2011-09-09,526386,77,0.526,0.694,0.526,0.328,0.0,0.112,-9.864,0.0461,116.068,4
34,Autumn Leaves,+,Ed Sheeran,2011-09-09,200755,64,0.555,0.892,0.555,0.257,1.42e-06,0.124,-12.637,0.0299,89.013,4
35,Little Bird - Deluxe Edition,+,Ed Sheeran,2011-09-09,224528,59,0.843,0.565,0.843,0.425,0.0,0.102,-8.676,0.0352,104.02,4
36,Gold Rush - Deluxe Edition,+,Ed Sheeran,2011-09-09,243162,60,0.74,0.729,0.74,0.248,0.0,0.141,-12.659,0.109,83.786,4
37,Sunburn - Deluxe Edition,+,Ed Sheeran,2011-09-09,275882,58,0.464,0.865,0.464,0.098,0.0,0.101,-12.119,0.0376,78.864,4
38,Lately (feat. Devlin),No.5 Collaborations Project,Ed Sheeran,2011-09-09,271333,47,0.718,0.0928,0.718,0.82,0.0,0.391,-5.552,0.103,90.013,4
39,You (feat. Wiley),No.5 Collaborations Project,Ed Sheeran,2011-09-09,201586,46,0.799,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,4
40,Family (feat. P Money),No.5 Collaborations Project,Ed Sheeran,2011-09-09,254906,46,0.476,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,4
41,Radio (feat. JME),No.5 Collaborations Project,Ed Sheeran,2011-09-09,222653,46,0.693,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,4
42,Little Lady (feat. Mikill Pane),No.5 Collaborations Project,Ed Sheeran,2011-09-09,328653,52,0.437,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,4
43,Drown Me Out (feat. Ghetts),No.5 Collaborations Project,Ed Sheeran,2011-09-09,261440,44,0.511,0.0282,0.511,0.91,0.0,0.127,-6.186,0.116,140.147,4
44,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",No.5 Collaborations Project,Ed Sheeran,2011-09-09,243000,44,0.855,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,4
45,Goodbye To You (feat. Dot Rotten),No.5 Collaborations Project,Ed Sheeran,2011-09-09,330200,45,0.64,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,4
46,How Would You Feel (Paean),How Would You Feel (Paean),Ed Sheeran,2017-02-16,280533,62,0.617,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,4
47,Castle on the Hill,Castle on the Hill,Ed Sheeran,2017-01-06,261153,70,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4
48,Shape of You,Shape of You,Ed Sheeran,2017-01-06,233712,82,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
49,Bloodstream,Bloodstream,Ed Sheeran,2015-03-27,308876,47,0.482,0.202,0.482,0.59,2.48e-05,0.0592,-6.399,0.0485,89.354,4
