,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Kya Baat Ay,Kya Baat Ay,Harrdy Sandhu,2018-09-24,179444,51,0.849,0.632,0.849,0.592,2.39e-06,0.108,-4.309,0.102,89.966,4
1,Gwandian (feat. Richa Chadda),Global Injection,Dr Zeus,2018-10-04,174583,44,0.803,0.324,0.803,0.851,5.52e-06,0.441,-5.112,0.106,106.852,4
2,YTL Yaar Tera LIT,YTL - Yaar Tera LIT,Mickey Singh,2018-05-08,205540,54,0.581,0.0569,0.581,0.82,0.0,0.167,-3.697,0.136,167.889,4
3,Naah,Naah,Harrdy Sandhu,2017-11-30,190000,55,0.715,0.62,0.715,0.863,6.32e-05,0.0972,-2.539,0.063,99.981,4
4,Buzz,Buzz,Aastha Gill,2018-04-12,193413,54,0.663,0.236,0.663,0.551,3.57e-05,0.0923,-8.272,0.109,113.314,3
5,Do Din,Do Din,Darshan Raval,2018-09-09,178326,43,0.745,0.459,0.745,0.782,0.000136,0.108,-5.68,0.0464,101.039,4
6,Bom Diggy,Bom Diggy - Single,Zack Knight,2017-08-24,207692,69,0.793,0.273,0.793,0.777,0.0,0.144,-5.636,0.197,103.956,4
7,Heartless (feat. Aastha Gill),Heartless (feat. Aastha Gill),Badshah,2018-08-12,209999,47,0.543,0.276,0.543,0.455,0.0,0.0948,-11.914,0.101,172.084,4
8,Nakhra Nawabi (feat. Zora Randhawa & Fateh),Nakhra Nawabi (feat. Zora Randhawa & Fateh),Dr Zeus,2018-01-17,207655,51,0.922,0.0372,0.922,0.855,0.0,0.393,-3.743,0.113,111.797,4
9,Light Kardo Band (feat. Aastha Gill),ONE (Original Never Ends),Badshah,2018-08-17,187636,42,0.822,0.396,0.822,0.537,0.0,0.112,-7.398,0.0594,110.011,4
10,Roots (feat. Raja Kumari),Roots (feat. Raja Kumari),DIVINE,2018-07-27,161021,38,0.94,0.00137,0.94,0.577,0.000335,0.0965,-5.838,0.0827,126.961,4
11,Nain (feat. Aastha Gill),ONE (Original Never Ends),Badshah,2018-08-17,165714,49,0.756,0.0642,0.756,0.682,0.00275,0.0813,-9.954,0.0976,105.053,4
12,Thumka,Thumka,Zack Knight,2018-08-03,167437,58,0.778,0.0284,0.778,0.801,0.0,0.327,-6.456,0.0758,106.061,4
