"popularity","danceability","acousticness","energy","instrumentalness","liveness","loudness","speechiness","tempo","main_clustering.clustering"
86,0.896,0.103,0.671,0,0.552,-6.977,0.289,112.502,1
94,0.752,0.297,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,2
100,0.841,0.153,0.798,3.33e-06,0.0618,-4.206,0.229,95.948,1
99,0.687,0.191,0.792,0,0.167,-2.749,0.0452,100.015,1
95,0.921,0.556,0.537,0.00404,0.102,-5.723,0.0804,128.009,2
93,0.912,0.0164,0.412,0.013,0.104,-8.074,0.124,154.983,3
94,0.931,0.088,0.387,0,0.136,-9.127,0.412,125.978,2
95,0.68,0.354,0.563,0,0.136,-5.843,0.0454,145.028,3
90,0.757,0.0716,0.69,0,0.192,-5.327,0.282,132.064,2
98,0.901,0.0114,0.522,0,0.259,-8.304,0.33,104.053,1
97,0.835,0.0589,0.626,6e-05,0.396,-5.833,0.125,91.03,1
97,0.834,0.00513,0.73,0,0.124,-3.714,0.222,155.008,3
95,0.826,0.071,0.615,0,0.0965,-7.979,0.219,98.056,1
97,0.818,0.0143,0.54,0.000512,0.099,-6.35,0.0544,97.064,1
84,0.694,0.0302,0.724,2.02e-06,0.126,-5.45,0.0424,104.943,1
62,0.551,0.0803,0.563,0.234,0.106,-10.271,0.0865,97.846,1
95,0.74,0.258,0.613,0.00372,0.123,-4.88,0.145,75.023,1
85,0.656,0.0484,0.542,0,0.126,-7.358,0.323,166.111,3
80,0.95,0.00534,0.59,0,0.11,-6.508,0.29,130.003,2
91,0.8,0.00381,0.578,0,0.359,-5.144,0.0485,143.01,3
94,0.884,0.0236,0.559,0,0.101,-7.442,0.12,97.994,1
90,0.964,0.035,0.346,0,0.108,-9.309,0.53,119.958,2
94,0.816,0.099,0.726,0,0.372,-3.998,0.129,136.048,2
91,0.765,0.0215,0.704,0,0.227,-4.589,0.127,147.055,3
88,0.792,0.107,0.743,0,0.183,-2.806,0.0851,150.024,3
93,0.872,0.469,0.391,4.13e-06,0.297,-9.144,0.242,134.021,2
89,0.85,0.0367,0.785,0,0.155,-4.963,0.345,145.063,3
87,0.745,0.00552,0.346,0,0.0881,-7.709,0.331,203.911,3
90,0.733,0.13,0.63,0,0.162,-4.296,0.395,149.989,3
97,0.56,0.555,0.68,0,0.116,-7.648,0.321,89.391,1
90,0.797,0.0172,0.533,0.000152,0.103,-9.74,0.0412,131.036,2
88,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,3
92,0.587,0.117,0.535,6.56e-05,0.131,-6.09,0.0898,159.847,3
91,0.855,0.371,0.694,0,0.109,-4.393,0.169,122.078,2
92,0.754,0.0332,0.449,8.29e-05,0.552,-9.211,0.109,77.169,1
79,0.694,0.0998,0.63,0.000635,0.12,-6.84,0.162,90.045,1
91,0.739,0.58,0.559,0,0.112,-8.011,0.117,140.124,2
88,0.665,0.0414,0.651,0,0.0896,-5.515,0.156,163.935,3
81,0.736,0.327,0.482,0,0.229,-8.242,0.196,140.064,2
79,0.755,0.00587,0.615,1.75e-06,0.109,-8.245,0.0454,105.955,1
48,0.678,0.0658,0.729,0,0.303,-4.188,0.137,99.895,1
94,0.876,0.0627,0.786,0,0.127,-4.884,0.306,153.068,3
72,0.853,0.179,0.696,0,0.286,-6.179,0.246,118.001,2
87,0.743,0.0595,0.87,0,0.299,-2.188,0.212,99.075,1
75,0.792,0.205,0.657,4.1e-06,0.196,-4.245,0.191,169.969,3
87,0.754,0.073,0.342,0,0.193,-8.677,0.0991,128.981,2
88,0.757,0.173,0.849,0,0.0878,-3.424,0.0536,150.036,3
88,0.596,0.0169,0.854,0,0.124,-5.114,0.463,120.274,2
88,0.922,0.00104,0.581,5.86e-05,0.105,-7.495,0.27,140.022,2
90,0.487,0.00947,0.789,4.05e-06,0.189,-3.69,0.044,150.007,3
89,0.734,0.847,0.57,2.14e-05,0.112,-7.066,0.133,129.953,2
68,0.54,0.635,0.439,1.93e-05,0.0993,-8.591,0.115,167.908,3
91,0.579,0.193,0.904,0,0.064,-2.729,0.0618,82.014,1
