,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,2018-05-30,235545,94,0.851,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,124.959,4
1,Happier,Happier,Marshmello,2018-08-17,214289,100,0.687,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,4
2,Lucid Dreams,Lucid Dreams,Juice WRLD,2018-05-04,239946,38,0.437,0.377,0.437,0.481,0.0,0.33,-9.681,0.237,83.606,4
3,Promises (with Sam Smith),Promises (with Sam Smith),Calvin Harris,2018-08-17,213309,98,0.781,0.0119,0.781,0.768,4.91e-06,0.325,-5.991,0.0394,123.07,4
4,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,96,0.68,0.354,0.68,0.563,0.0,0.136,-5.843,0.0454,145.028,4
5,In My Mind,In My Mind,Dynoro,2018-06-08,184560,98,0.694,0.176,0.694,0.77,1.1e-05,0.118,-5.335,0.149,125.905,4
6,In My Feelings,Scorpion,Drake,2018-06-29,217925,99,0.835,0.0589,0.835,0.626,6e-05,0.396,-5.833,0.125,91.03,4
7,We Are the Ones,We Are the Ones,Westside Cast,2018-10-11,225169,39,0.376,0.015,0.376,0.742,0.0,0.328,-5.798,0.0994,187.771,4
8,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,99,0.56,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,89.391,4
9,I Like It,Invasion of Privacy,Cardi B,2018-04-06,253390,96,0.816,0.099,0.816,0.726,0.0,0.372,-3.998,0.129,136.048,4
10,Better,Better,Khalid,2018-09-14,229412,94,0.442,0.0984,0.442,0.585,0.391,0.14,-10.332,0.0964,97.565,4
11,Youngblood,Youngblood,5 Seconds of Summer,2018-04-12,203417,90,0.596,0.0169,0.596,0.854,0.0,0.124,-5.114,0.463,120.274,4
12,SAD!,SAD!,XXXTENTACION,2018-03-02,166568,26,0.74,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,75.023,4
13,Love Lies (with Normani),Love Lies (with Normani),Khalid,2018-02-14,201707,89,0.708,0.0956,0.708,0.648,0.0,0.134,-5.626,0.0449,143.955,4
14,"Vibe (feat. Taz Zavala, Leo Gallo & Arika Gluck)","Vibe (feat. Taz Zavala, Leo Gallo & Arika Gluck)",Westside Cast,2018-10-11,240537,18,0.766,0.199,0.766,0.872,5.88e-06,0.0695,-3.471,0.109,116.029,4
15,Be Alright,Be Alright,Dean Lewis,2018-06-29,196373,96,0.553,0.697,0.553,0.586,0.0,0.0813,-6.319,0.0362,126.684,4
16,Natural,Natural,Imagine Dragons,2018-07-17,189466,95,0.448,0.216,0.448,0.612,0.0,0.08,-6.106,0.0708,97.773,4
17,Without Me,Without Me,Halsey,2018-10-04,201660,90,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
18,No Brainer,No Brainer,DJ Khaled,2018-07-27,260000,95,0.552,0.0733,0.552,0.76,0.0,0.0865,-4.706,0.342,135.702,5
19,Electricity (with Dua Lipa),Electricity (with Dua Lipa),Silk City,2018-09-06,238173,94,0.588,0.0104,0.588,0.67,3.33e-06,0.338,-6.439,0.0473,118.159,4
20,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,2018-05-10,207904,88,0.601,0.0945,0.601,0.724,1.68e-06,0.12,-4.856,0.0486,102.061,4
21,This Feeling,Sick Boy...This Feeling,The Chainsmokers,2018-09-18,199226,91,0.575,0.0558,0.575,0.571,0.0,0.0912,-7.906,0.0439,105.049,4
22,God is a woman,God is a woman,Ariana Grande,2018-07-13,197573,78,0.604,0.0268,0.604,0.673,3.32e-05,0.187,-5.979,0.0545,144.971,4
23,Perfect Duet (Ed Sheeran & Beyoncé),Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2017-11-30,259550,87,0.587,0.779,0.587,0.299,0.0,0.123,-7.365,0.0263,94.992,3
24,Delicate,reputation,Taylor Swift,2017-11-10,232253,47,0.75,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
25,Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2017-08-11,163870,88,0.643,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,4
26,no tears left to cry,no tears left to cry,Ariana Grande,2018-04-20,205946,76,0.703,0.0375,0.703,0.696,5.65e-06,0.274,-5.482,0.0529,121.969,4
